id,total_retweets,total_favorites,total_ids,total_available_ids,percentage_avai_ids
gossipcop-2319612469,332.0,1243.0,682.0,524.0,0.7683284457478006
gossipcop-4919075720,478.0,1995.0,1087.0,745.0,0.6853725850965962
gossipcop-2316846257,461.0,4175.0,992.0,681.0,0.686491935483871
gossipcop-4442164543,2968.0,21332.0,1190.0,944.0,0.7932773109243697
gossipcop-893978648,0.0,3.0,7.0,3.0,0.42857142857142855
gossipcop-1904248445,560.0,3480.0,1595.0,912.0000000000001,0.5717868338557994
gossipcop-4901134976,320.0,2662.0,1020.0,814.0,0.7980392156862746
gossipcop-9378793595,685.0,4907.0,1682.0,1145.0,0.6807372175980975
gossipcop-7744297225,371.0,4200.0,1207.0,969.0,0.8028169014084507
gossipcop-3178412868,1121.0,6797.0,1043.0,887.0000000000001,0.8504314477468841
gossipcop-2049352387,162.0,1104.0,1034.0,697.0,0.6740812379110251
gossipcop-2695444481,1563.0,3925.0,986.0,558.0,0.565922920892495
gossipcop-8373962867,483.0,2104.0,1020.0,722.0,0.707843137254902
gossipcop-8729551711,803.0,5625.0,1016.0,795.0,0.78248031496063
gossipcop-4351619495,543.0,2369.0,1017.0,705.0,0.6932153392330384
gossipcop-2029753949,1474.0,4353.0,1020.0,739.0,0.7245098039215686
gossipcop-4708420571,53.0,736.0,1003.0,717.0,0.7148554336989033
gossipcop-6071391632,2039.0,11406.0,1023.0,798.0,0.7800586510263929
gossipcop-1385937069,2220.0,10732.0,1376.0,934.0,0.6787790697674418
gossipcop-3758131250,9183.0,35752.0,1880.0,1383.0,0.7356382978723405
gossipcop-9781131395,579.0,3275.0,1020.0,756.0,0.7411764705882353
gossipcop-8137449994,2734.0,12653.0,1419.0,1100.0,0.7751937984496124
gossipcop-174523171,0.0,0.0,4.0,4.0,1.0
gossipcop-9545318801,1833.0,3357.0,947.0,838.0,0.8848996832101372
gossipcop-5142275432,,,,,
gossipcop-8463307904,3414.0,14142.0,2020.0,1382.0,0.6841584158415842
gossipcop-1360722071,1387.0,6344.0,1722.0,1036.0,0.6016260162601627
gossipcop-2345398796,2600.0,12657.0,1435.0,1164.0,0.8111498257839721
gossipcop-9495394238,575.0,6470.0,1020.0,700.0,0.6862745098039216
gossipcop-8871505752,7.0,32.0,264.0,238.00000000000003,0.9015151515151516
gossipcop-8582917621,326.0,3966.0,991.0,693.0,0.6992936427850656
gossipcop-5754687706,33.0,28.0,153.0,136.0,0.8888888888888888
gossipcop-3428491362,1584.0,7228.0,1020.0,803.0,0.7872549019607843
gossipcop-2024584756,204.0,1596.0,1020.0,658.0,0.6450980392156863
gossipcop-2856325908,2031.0,12358.0,2171.0,1619.0,0.7457392906494703
gossipcop-922305481,1560.0,9529.0,2336.0,1699.0,0.7273116438356164
gossipcop-8568774460,3028.0,12585.0,610.0,448.0,0.7344262295081967
gossipcop-5913883000,544.0,7843.0,1020.0,568.0,0.5568627450980392
gossipcop-920691324,529.0,4588.0,1020.0,812.0000000000001,0.7960784313725491
gossipcop-4932051493,730.0,3251.0,1020.0,685.0,0.6715686274509803
gossipcop-2096283948,154.0,1280.0,1027.0,522.0,0.5082765335929893
gossipcop-7353474504,237.0,4983.0,1024.0,743.0,0.7255859375
gossipcop-8258400710,104.0,137.0,316.0,277.0,0.8765822784810127
gossipcop-1632389986,546.0,3548.0,1020.0,787.0,0.7715686274509804
gossipcop-7113996696,3.0,4.0,5.0,3.0,0.6
gossipcop-5058047358,796.0,3774.0,1013.0,781.0,0.7709772951628825
gossipcop-6443705269,318.0,2196.0,1083.0,782.0,0.7220683287165282
gossipcop-6045045567,639.0,1571.0,653.0,522.0,0.7993874425727412
gossipcop-2079115991,844.0,2294.0,1025.0,832.0,0.8117073170731708
gossipcop-1977287307,0.0,2.0,55.0,48.0,0.8727272727272727
gossipcop-9800162301,886.0,2761.0,1142.0,792.0,0.6935201401050788
gossipcop-5470901036,11809.0,46174.0,1030.0,889.0,0.8631067961165049
gossipcop-967291458,1442.0,13144.0,628.0,492.00000000000006,0.7834394904458599
gossipcop-6425330039,42.0,54.0,1050.0,872.0,0.8304761904761905
gossipcop-9735192794,10579.0,43284.0,1540.0,1322.0,0.8584415584415584
gossipcop-3669640770,3.0,1.0,6.0,3.0,0.5
gossipcop-5249498116,851.0,3337.0,1011.0,758.0,0.7497527200791295
gossipcop-2738137690,1232.0,8672.0,1020.0,590.0,0.5784313725490197
gossipcop-6286005813,103.0,339.0,197.0,159.0,0.8071065989847716
gossipcop-775553535,510.0,2632.0,1020.0,806.0,0.7901960784313725
gossipcop-1156920900,1419.0,6552.0,1046.0,832.0,0.7954110898661568
gossipcop-6357587137,1013.0,3773.0,956.0,818.0,0.8556485355648535
gossipcop-3511129675,348.0,2579.0,840.0,710.0,0.8452380952380952
gossipcop-2036408420,153.0,808.0,1020.0,843.0,0.8264705882352941
gossipcop-8688894238,78.0,232.0,123.0,111.99999999999999,0.9105691056910568
gossipcop-8380675168,50.0,258.0,36.0,35.0,0.9722222222222222
gossipcop-8299029764,3.0,6.0,32.0,30.0,0.9375
gossipcop-7638015229,94.0,172.0,15.0,15.0,1.0
gossipcop-6031013673,0.0,10.0,13.0,11.0,0.8461538461538461
gossipcop-289348746,27.0,105.0,10.0,9.0,0.9
gossipcop-2161763691,891.0,2118.0,994.0,871.0,0.8762575452716298
gossipcop-5824584587,0.0,0.0,1.0,0.0,0.0
gossipcop-7064865875,0.0,1.0,7.0,5.0,0.7142857142857143
gossipcop-163977799,0.0,6.0,4.0,4.0,1.0
gossipcop-6733131485,,,,,
gossipcop-5117218962,0.0,3.0,7.0,4.0,0.5714285714285714
gossipcop-5924693724,3.0,2.0,10.0,9.0,0.9
gossipcop-7905088416,,,,,
gossipcop-3207353525,0.0,1.0,10.0,8.0,0.8
gossipcop-129798707,2.0,3.0,14.0,12.0,0.8571428571428571
gossipcop-5347539203,16.0,25.0,26.0,19.0,0.7307692307692307
gossipcop-9066951306,0.0,0.0,7.0,2.0,0.2857142857142857
gossipcop-952055476,0.0,2.0,11.0,8.0,0.7272727272727273
gossipcop-7694435947,1.0,4.0,5.0,2.0,0.4
gossipcop-5021810538,0.0,0.0,13.0,10.0,0.7692307692307693
gossipcop-2325058991,0.0,3.0,19.0,16.0,0.8421052631578947
gossipcop-2711561713,44.0,172.0,7.0,7.0,1.0
gossipcop-5321811527,20.0,92.0,29.0,24.0,0.8275862068965517
gossipcop-8699882806,35.0,81.0,18.0,14.0,0.7777777777777778
gossipcop-4294249994,377.0,1193.0,1121.0,861.0000000000001,0.7680642283675291
gossipcop-406996664,11.0,57.0,41.0,35.0,0.8536585365853658
gossipcop-5372987254,32.0,81.0,412.0,368.0,0.8932038834951457
gossipcop-6414877465,5.0,3.0,31.0,19.0,0.6129032258064516
gossipcop-2004562842,22.0,31.0,28.0,25.0,0.8928571428571429
gossipcop-2765920062,0.0,3.0,27.0,23.0,0.8518518518518519
gossipcop-4161797733,1.0,2.0,14.0,11.0,0.7857142857142857
gossipcop-7259617407,3.0,4.0,17.0,14.0,0.8235294117647058
gossipcop-8606143021,1.0,3.0,17.0,12.0,0.7058823529411765
gossipcop-2550534910,11.0,39.0,29.0,25.999999999999993,0.8965517241379308
gossipcop-3480587019,57.0,285.0,56.0,48.0,0.8571428571428571
gossipcop-1398282945,0.0,0.0,16.0,13.0,0.8125
gossipcop-4047751028,0.0,1.0,4.0,3.0,0.75
gossipcop-6594332926,0.0,0.0,3.0,2.0,0.6666666666666666
gossipcop-5238881623,79.0,313.0,44.0,37.0,0.8409090909090909
gossipcop-5939824224,0.0,0.0,4.0,2.0,0.5
gossipcop-1675667628,13.0,65.0,23.0,19.0,0.8260869565217391
gossipcop-4479215560,9.0,26.0,78.0,78.0,1.0
gossipcop-6733555194,1.0,0.0,18.0,15.0,0.8333333333333334
gossipcop-6345761457,0.0,10.0,31.0,18.0,0.5806451612903226
gossipcop-3910567861,0.0,3.0,33.0,28.0,0.8484848484848485
gossipcop-662718352,7.0,9.0,17.0,15.0,0.8823529411764706
gossipcop-667682841,0.0,4.0,39.0,37.0,0.9487179487179488
gossipcop-1811699604,474.0,1027.0,894.0,751.0,0.8400447427293065
gossipcop-8280929744,23.0,72.0,27.0,24.0,0.8888888888888888
gossipcop-2303457681,882.0,3565.0,782.0,654.0,0.8363171355498721
gossipcop-4183604565,1.0,8.0,7.0,5.0,0.7142857142857143
gossipcop-6058088749,3.0,6.0,5.0,2.0,0.4
gossipcop-1843695308,1.0,1.0,1.0,1.0,1.0
gossipcop-6982710185,21.0,70.0,138.0,125.0,0.9057971014492754
gossipcop-8357440556,,,,,
gossipcop-676306960,2.0,2.0,5.0,5.0,1.0
gossipcop-9160143371,0.0,2.0,3.0,3.0,1.0
gossipcop-8989173860,0.0,7.0,13.0,11.0,0.8461538461538461
gossipcop-6364120872,0.0,6.0,2.0,2.0,1.0
gossipcop-5232545044,0.0,10.0,3.0,2.0,0.6666666666666666
gossipcop-5389144623,7.0,33.0,5.0,5.0,1.0
gossipcop-5290064457,2.0,38.0,23.0,20.0,0.8695652173913043
gossipcop-3483194758,1.0,4.0,12.0,9.0,0.75
gossipcop-3385599744,0.0,1.0,2.0,2.0,1.0
gossipcop-2446217151,1.0,8.0,2.0,2.0,1.0
gossipcop-4826532331,4.0,21.0,47.0,37.0,0.7872340425531915
gossipcop-9655844991,1566.0,4022.0,2300.0,1793.0,0.7795652173913044
gossipcop-4224035489,2.0,7.0,20.0,14.0,0.7
gossipcop-9239107991,3.0,4.0,12.0,12.0,1.0
gossipcop-1426832166,1.0,1.0,7.0,7.0,1.0
gossipcop-809829695,1.0,2.0,8.0,7.0,0.875
politifact14166,26.0,30.0,158.0,151.0,0.9556962025316456
gossipcop-9879691081,0.0,0.0,2.0,1.0,0.5
gossipcop-5411760543,1.0,0.0,1.0,1.0,1.0
gossipcop-7270137451,3.0,8.0,7.0,6.0,0.8571428571428571
gossipcop-7363616992,5.0,13.0,5.0,4.0,0.8
gossipcop-5490417950,0.0,5.0,12.0,9.0,0.75
gossipcop-3065448799,2.0,12.0,120.0,96.0,0.8
gossipcop-1539005641,4.0,3.0,7.0,5.0,0.7142857142857143
gossipcop-1738357324,5508.0,7056.0,1020.0,850.0,0.8333333333333334
gossipcop-1457904080,838.0,1178.0,1079.0,945.0,0.8758109360518999
gossipcop-1704742043,0.0,0.0,12.0,10.0,0.8333333333333334
politifact13475,2379.0,1434.0,1025.0,902.0,0.88
politifact13720,80.0,71.0,84.0,81.00000000000001,0.9642857142857144
gossipcop-6460819464,248.0,1055.0,1016.0,863.0,0.8494094488188977
gossipcop-6174186742,1.0,7.0,3.0,3.0,1.0
gossipcop-7266959676,1019.0,3291.0,1039.0,804.0,0.7738209817131858
gossipcop-8793541744,7.0,30.0,58.0,49.0,0.8448275862068966
gossipcop-1942196966,1.0,0.0,5.0,4.0,0.8
gossipcop-9010461723,54.0,134.0,22.0,21.0,0.9545454545454546
gossipcop-4223068558,3.0,6.0,20.0,15.0,0.75
gossipcop-4778714585,3.0,117.0,55.0,41.0,0.7454545454545455
politifact14620,10.0,9.0,22.0,17.0,0.7727272727272727
gossipcop-1266889667,13.0,37.0,140.0,116.00000000000001,0.8285714285714286
gossipcop-807502947,18.0,26.0,54.0,44.0,0.8148148148148148
gossipcop-5935590761,0.0,0.0,9.0,6.0,0.6666666666666666
gossipcop-470066082,5.0,14.0,13.0,11.0,0.8461538461538461
gossipcop-6183599706,2.0,2.0,5.0,4.0,0.8
gossipcop-9574195797,2.0,3.0,9.0,7.0,0.7777777777777778
gossipcop-8262257490,0.0,0.0,5.0,5.0,1.0
gossipcop-4461739638,120.0,412.0,940.0,833.0,0.8861702127659574
gossipcop-4468191118,0.0,1.0,9.0,8.0,0.8888888888888888
gossipcop-5697459911,4.0,12.0,43.0,36.0,0.8372093023255814
gossipcop-7215618462,2.0,4.0,4.0,4.0,1.0
gossipcop-403336283,584.0,3083.0,24.0,20.0,0.8333333333333334
gossipcop-289387905,1.0,2.0,5.0,2.0,0.4
gossipcop-8179874708,1.0,3.0,3.0,3.0,1.0
gossipcop-3754617510,30.0,20.0,184.0,161.0,0.875
gossipcop-9895751220,10.0,15.0,35.0,28.0,0.8
gossipcop-951650153,52.0,14.0,338.0,319.0,0.9437869822485208
gossipcop-9636141965,3.0,4.0,19.0,19.0,1.0
gossipcop-8210999726,2.0,3.0,37.0,31.0,0.8378378378378378
gossipcop-978960567,2.0,2.0,89.0,20.0,0.2247191011235955
gossipcop-7952745571,2.0,14.0,244.0,229.0,0.9385245901639344
gossipcop-4766639751,3.0,3.0,31.0,16.0,0.5161290322580645
gossipcop-3260782116,14.0,12.0,78.0,53.0,0.6794871794871795
gossipcop-1532318228,3.0,11.0,55.0,23.999999999999996,0.4363636363636363
gossipcop-9766361916,19.0,31.0,45.0,35.0,0.7777777777777778
gossipcop-4453005562,1.0,3.0,45.0,29.000000000000004,0.6444444444444445
gossipcop-7380022110,0.0,0.0,10.0,9.0,0.9
gossipcop-1339876563,0.0,2.0,30.0,21.0,0.7
gossipcop-5749954827,0.0,5.0,40.0,25.0,0.625
gossipcop-5003398449,43.0,98.0,26.0,21.0,0.8076923076923077
gossipcop-1635803164,8.0,9.0,16.0,13.0,0.8125
gossipcop-3660054190,0.0,0.0,2.0,1.0,0.5
gossipcop-8617484084,8.0,18.0,121.0,97.0,0.8016528925619835
gossipcop-4355609760,0.0,6.0,66.0,62.0,0.9393939393939394
gossipcop-3793083965,,,,,
gossipcop-1315164180,0.0,6.0,26.0,18.0,0.6923076923076923
